player,name,position,team,mean_adp,median_adp,n_drafts
16148,"Young, Bryce",QB,CAR,158.90178571428572,163.0,112
16595,"Estime, Audric",RB,NOS,159.0,159.0,1
13233,"Shanahan, Kyle",Coach,SFO,159.0,149.0,3
17047,"Sampson, Dylan",RB,CLE,159.30985915492957,158.0,71
0625,"Buccaneers, Tampa Bay",Off,TBB,159.33333333333334,169.0,3
14823,"Dowdle, Rico",RB,CAR,159.3821138211382,162.0,123
12956,"Lutz, Wil",PK,DEN,159.96774193548387,161.0,155
14050,"LaFleur, Matt",Coach,GBP,160.0,166.5,4
17222,"Loop, Tyler",PK,BAL,160.01666666666668,162.0,120
0514,"Chargers, Los Angeles",Def,LAC,160.22641509433961,163.0,106
0616,"Cowboys, Dallas",Off,DAL,161.0,172.0,3
15712,"Allgeier, Tyler",RB,ATL,161.25688073394497,164.0,109
0530,"49ers, San Francisco",Def,SFO,161.47692307692307,166.0,130
16587,"Hartman, Sam",QB,WAS,161.5,161.5,2
13138,"Hunt, Kareem",RB,KCC,161.61344537815125,164.0,119
17055,"James, Jordan",RB,SFO,161.75,176.0,4
17027,"Johnson, Ben",Coach,CHI,162.0,162.0,1
15882,"York, Cade",PK,NOS,162.0,162.0,1
14805,"Dillon, AJ",RB,PHI,162.4,170.0,5
12860,"Fairbairn, Ka'imi",PK,HOU,162.88970588235293,165.0,136
17303,"Collins, Beaux",WR,NYG,163.0,163.0,1
0568,"Eagles, Philadelphia",ST,PHI,163.0,163.0,2
17070,"Burden, Luther",WR,CHI,163.0921052631579,165.5,76
0515,"Seahawks, Seattle",Def,SEA,163.2233009708738,164.0,103
0569,"Cardinals, Arizona",ST,ARI,163.33333333333334,148.0,3
11150,"Smith, Geno",QB,LVR,163.54166666666666,163.5,72
16724,"Taylor, Tory",PN,CHI,164.0,164.0,1
16183,"Hyatt, Jalin",WR,NYG,164.0,164.0,1
14983,"Bass, Tyler",PK,BUF,164.328125,169.0,128
0506,"Bengals, Cincinnati",Def,CIN,164.78571428571428,165.5,84
0712,"Chiefs, Kansas City",TMPK,KCC,164.83333333333334,167.0,12
17157,"TeSlaa, Isaac",WR,DET,164.97674418604652,167.0,43
14630,"Cole, A.J.",PN,LVR,165.0,165.0,1
17103,"Fannin, Harold",TE,CLE,165.23529411764707,165.0,17
16216,"Washington, Darnell",TE,PIT,165.5,165.5,2
13772,"Schultz, Dalton",TE,HOU,165.71794871794873,174.0,39
