player,name,position,team,mean_adp,median_adp,n_drafts,player_norm,sleeper_rank,rtsports_rank,fftoday_espn_rank,avg_rank,position_fft
16688,"Guerendo, Isaac",RB,SFO,168.87234042553192,165.0,47,isaac guerendo,192,177.0,238.0,202.3,RB
17106,"Taylor, Mason",TE,NYJ,168.96666666666667,168.5,60,mason taylor,216,204.0,,210.0,TE
16191,"Tillman, Cedric",WR,CLE,169.1451612903226,166.5,62,cedric tillman,191,174.0,168.0,177.7,WR
14105,"Brown, Marquise",WR,KCC,169.1891891891892,168.0,37,marquise brown,193,167.0,171.0,177.0,WR
14086,"Hill, Justice",RB,BAL,169.80263157894737,175.5,76,justice hill,243,181.0,,212.0,RB
13592,"Darnold, Sam",QB,SEA,170.40350877192984,171.0,57,sam darnold,235,203.0,202.0,213.3,QB
15889,"Okonkwo, Chigoziem",TE,TEN,170.81632653061226,169.0,49,chigoziem okonkwo,202,184.0,,193.0,TE
16601,"Shipley, Will",RB,PHI,171.01492537313433,173.0,67,will shipley,211,186.0,218.0,205.0,RB
17080,"Noel, Jaylin",WR,HOU,171.57894736842104,172.0,19,jaylin noel,253,182.0,,217.5,WR
12263,"Waller, Darren",TE,MIA,171.6,172.5,70,darren waller,201,233.0,179.0,204.3,TE
16269,"Strange, Brenton",TE,JAC,171.875,172.5,80,brenton strange,190,176.0,209.0,191.7,TE
15802,"Otton, Cade",TE,TBB,173.13333333333333,169.0,30,cade otton,217,172.0,191.0,193.3,TE
9064,"Flacco, Joe",QB,CIN,173.3846153846154,178.0,13,joe flacco,279,,234.0,256.5,QB
17072,"Harris, Tre",WR,LAC,173.93103448275863,178.0,29,tre harris,154,170.0,,162.0,WR
16188,"Johnston, Quentin",WR,LAC,174.25,174.0,68,quentin johnston,248,,,248.0,WR
10703,"Wilson, Russell",QB,NYG,174.72413793103448,183.0,29,russell wilson,261,,231.0,246.0,QB
17031,"Sanders, Shedeur",QB,CLE,175.58333333333334,172.5,12,shedeur sanders,205,,205.0,205.0,QB
16175,"Johnson, Roschon",RB,CHI,175.76923076923077,183.5,26,roschon johnson,244,219.0,,231.5,RB
16610,"Wright, Jaylen",RB,MIA,176.11904761904762,175.5,42,jaylen wright,213,188.0,181.0,194.0,RB
17134,"Williams, Kyle",WR,NEP,176.55172413793105,184.0,29,kyle williams,188,165.0,,176.5,WR
13672,"Gesicki, Mike",TE,CIN,177.3720930232558,178.0,43,mike gesicki,220,,,220.0,TE
15779,"Doubs, Romeo",WR,GBP,177.5344827586207,182.0,58,romeo doubs,212,210.0,,211.0,WR
17053,"Marks, Woody",RB,HOU,177.57575757575756,173.0,33,woody marks,203,159.0,,181.0,RB
